date,cells
2001-03-21,6.51
2001-04-03,6.12
2001-04-19,5.46
2001-05-02,4.87
2001-05-07,4.81
2001-05-16,4.18
2001-05-23,3.42
2001-05-30,3.88
2001-06-06,3.12
2001-06-20,1.86
2001-06-26,2.16
2001-08-01,1.44
2001-08-07,1.68
2001-08-22,2.63
2001-09-05,5.17
2001-09-24,5.7
2001-10-04,4.13
2001-10-17,4.26
2001-11-13,4.18
2001-12-12,4.15
2002-01-09,4.91
2002-02-06,4
2002-04-03,3.18
2002-04-17,3.69
2002-05-08,2.68
2002-05-17,1.96
2002-05-22,2.26
2002-05-29,1.12
2002-06-13,1.16
2002-06-26,0.98
2002-07-10,1.3
2002-07-22,1.6
2002-08-21,2.67
2002-09-03,6.56
2002-09-17,5.32
2002-09-27,7.5
2002-10-15,8.82
2002-10-29,5.72
2002-11-12,6.79
2002-11-27,6.18
2003-02-12,7.65
2003-03-19,8.02
2003-04-03,5.75
2003-04-13,4.73
2003-05-05,6.07
2003-05-07,3.53
2003-05-19,0.79
