no,year,brand,weight,width,height
1,2022,LB,79,46,56
2,2022,LB,63,44,55
3,2022,LB,79,55,57
4,2022,LB,61,46,54
5,2022,LB,68,48,51
6,2022,LB,51,44,52
7,2022,LB,71,56,52
8,2022,LB,65,51,46
9,2022,LB,59,38,56
10,2022,LB,63,45,53
11,2022,LB,66,41,52
12,2022,LB,73,47,55
13,2022,LB,78,50,54
14,2022,LB,71,43,55
1,2022,box1,86,58.8,43.5
2,2022,box1,82,58,43.5
3,2022,box1,100,67,50
4,2022,box1,77,54.7,49.7
5,2022,box1,82,56.3,48.4
6,2022,box1,89,58.7,44.3
7,2022,box1,89,57.7,46.9
8,2022,box1,74,52,43.5
9,2022,box1,72,55.7,41
10,2022,box1,77,96,44.6
11,2022,box1,82,54.9,44.7
12,2022,box1,93,59,48
13,2022,box1,65,52.2,43.6
14,2022,box1,80,56.7,43.4
15,2022,box1,65,52.2,43.6
16,2022,box1,81,52.7,46
17,2022,box1,80,56.2,45.1
18,2022,box1,71,56,41
19,2022,box1,75,55,46
20,2022,box1,71,53.6,41.4
21,2022,box1,69,57,46
22,2022,box1,59,53,40
23,2022,box1,77,53,46
24,2022,box1,71,49,37.5
25,2022,box1,87,59,50
26,2022,box1,75,49.2,41.5
27,2022,box1,81,50.9,42.1
28,2022,box1,73,50,38.9
29,2022,box1,88,58,47
30,2022,box1,74,49.2,38.4
31,2022,box1,62,49.2,37.3
1,2022,box2,106,58,52
2,2022,box2,95,59.3,50.1
3,2022,box2,102,59,55
4,2022,box2,64,52.9,42.6
5,2022,box2,81.5,58,47
6,2022,box2,93,58,49.2
7,2022,box2,94,61.4,45.2
8,2022,box2,85,60.5,41.3
9,2022,box2,100,56,53
10,2022,box2,110,58,51
11,2022,box2,92,55.3,48.7
12,2022,box2,105,58,50
13,2022,box2,83,51,43
14,2022,box2,95,57.8,39.4
15,2022,box2,87,53.9,41.2
1,2022,S1,76,42.5,38.3
2,2022,S1,75,46.39,36.6
3,2022,S1,73,40.5,39.4
4,2022,S1,83,46.53,42.3
5,2022,S1,74,42.94,39.3
6,2022,S1,75,46.3,34
7,2022,S1,65,41.77,33.15
8,2022,S1,69,40.8,31.1
9,2022,S1,82,45.93,39.6
10,2022,S1,64,43.53,35.49
11,2022,S1,73,46.5,46.4
12,2022,S1,65,43.6,40.2
13,2022,S1,75,43.9,41.1
14,2022,S1,87,46.7,39.9
15,2022,S1,65,44.1,35.8
16,2022,S1,72,45.56,34.97
17,2022,S1,67,43.8,34.8
18,2022,S1,81,48.4,37.02
19,2022,S1,72,43.8,37.37
20,2022,S1,78,46.99,33.26
